id,migration,batch
1,2014_10_12_000000_create_users_table,1
2,2014_10_12_100000_create_password_reset_tokens_table,1
3,2014_10_12_200000_add_two_factor_columns_to_users_table,1
4,2019_08_19_000000_create_failed_jobs_table,1
5,2019_12_14_000001_create_personal_access_tokens_table,1
6,2023_11_24_102523_create_sessions_table,1
7,2023_11_30_150923_create_articles_table,1
15,2023_11_30_150923_create_articles_table,2
